Accession	Log_likelihood	GC	Sc	St
Mycoplasma_pneumoniae_DNA_BAV20676.1	-288.1	-0.3492	-0.141	-0.1578
Mycoplasma_pneumoniae_DNA_BAV20270.1	-239.0	-0.3492	-0.2254	-0.0258
Mycoplasma_pneumoniae_DNA_BAV20338.1	-970.1	-0.3492	-0.1191	0.1337
Mycoplasma_pneumoniae_DNA_BAV20269.1	-264.2	-0.3492	-0.1596	0.2025
Mycoplasma_pneumoniae_DNA_BAV20701.1	-174.7	-0.3492	-0.152	0.5175
Mycoplasma_pneumoniae_DNA_BAV20632.1	-763.5	-0.3492	-0.1512	0.1239
Mycoplasma_pneumoniae_DNA_BAV20572.1	-730.0	-0.3492	-0.1758	-0.1963
Mycoplasma_pneumoniae_DNA_BAV20218.1	-313.6	-0.3492	-0.1392	-0.0112
Mycoplasma_pneumoniae_DNA_BAV20579.1	-242.0	-0.3492	-0.0672	0.0814
Mycoplasma_pneumoniae_DNA_BAV20210.1	-283.7	-0.3492	0.0011	0.0231
Mycoplasma_pneumoniae_DNA_BAV20703.1	-254.0	-0.3492	-0.1302	-0.3738
Mycoplasma_pneumoniae_DNA_BAV20670.1	-419.1	-0.3492	-0.0259	-0.2639
Mycoplasma_pneumoniae_DNA_BAV20680.1	-153.4	-0.3492	-0.1049	-0.2501
Mycoplasma_pneumoniae_DNA_BAV20360.1	-59.4	-0.3492	0.0774	-0.5013
Mycoplasma_pneumoniae_DNA_BAV20634.1	-306.4	-0.3492	-0.1984	-0.0784
Mycoplasma_pneumoniae_DNA_BAV20882.1	-271.2	-0.3492	-0.1556	0.3268
Mycoplasma_pneumoniae_DNA_BAV20354.1	-330.0	-0.3492	0.0804	-0.5717
Mycoplasma_pneumoniae_DNA_BAV20707.1	-379.7	-0.3492	-0.2864	0.6452
Mycoplasma_pneumoniae_DNA_BAV20696.1	-680.1	-0.3492	-0.0014	-0.5795
Mycoplasma_pneumoniae_DNA_BAV20583.1	-235.2	-0.3492	-0.0997	0.0218
Mycoplasma_pneumoniae_DNA_BAV20466.1	-235.2	-0.3492	-0.3149	0.4995
Mycoplasma_pneumoniae_DNA_BAV20674.1	-1353.6	-0.3492	-0.0995	0.163
Mycoplasma_pneumoniae_DNA_BAV20694.1	-1126.2	-0.3492	-0.1095	0.2
Mycoplasma_pneumoniae_DNA_BAV20581.1	-295.4	-0.3492	-0.1078	-0.349
Mycoplasma_pneumoniae_DNA_BAV20368.1	-290.7	-0.3492	-0.0557	-0.0042
Mycoplasma_pneumoniae_DNA_BAV20358.1	-374.5	-0.3492	-0.0395	-0.0124
Mycoplasma_pneumoniae_DNA_BAV20672.1	-655.9	-0.3492	-0.2811	0.621
Mycoplasma_pneumoniae_DNA_BAV20595.1	-828.1	-0.3492	-0.1825	0.2111
Mycoplasma_pneumoniae_DNA_BAV20615.1	-278.0	-0.3492	-0.2377	-0.0159
Mycoplasma_pneumoniae_DNA_BAV20329.1	-406.8	-0.3492	-0.1863	0.0652
Mycoplasma_pneumoniae_DNA_BAV20892.1	-98.2	-0.3492	-0.0521	-0.1172
Mycoplasma_pneumoniae_DNA_BAV20747.1	-517.0	-0.3492	-0.1613	0.156
Mycoplasma_pneumoniae_DNA_BAV20886.1	-472.6	-0.3492	-0.1583	0.094
Mycoplasma_pneumoniae_DNA_BAV20728.1	-512.4	-0.3492	-0.1127	-0.0916
Mycoplasma_pneumoniae_DNA_BAV20741.1	-520.3	-0.3492	-0.0542	-0.4602
Mycoplasma_pneumoniae_DNA_BAV20356.1	-645.0	-0.3492	-0.0729	-0.2193
Mycoplasma_pneumoniae_DNA_BAV20759.1	-132.1	-0.3492	0.0157	-0.3371
Mycoplasma_pneumoniae_DNA_BAV20656.1	-158.4	-0.3492	-0.0074	-0.0397
Mycoplasma_pneumoniae_DNA_BAV20705.1	-266.4	-0.3492	0.0268	-0.32
Mycoplasma_pneumoniae_DNA_BAV20343.1	-385.3	-0.3492	-0.1227	0.1226
Mycoplasma_pneumoniae_DNA_BAV20591.1	-283.9	-0.3492	-0.0762	-0.0259
Mycoplasma_pneumoniae_DNA_BAV20212.1	-231.2	-0.3492	-0.2228	0.063
Mycoplasma_pneumoniae_DNA_BAV20889.1	-184.2	-0.3492	-0.0513	0.4497
Mycoplasma_pneumoniae_DNA_BAV20362.1	-350.4	-0.3492	-0.0994	0.2264
Mycoplasma_pneumoniae_DNA_BAV20650.1	-332.7	-0.3492	-0.0593	-0.2333
Mycoplasma_pneumoniae_DNA_BAV20593.1	-393.8	-0.3492	-0.1884	0.0817
Mycoplasma_pneumoniae_DNA_BAV20711.1	-1115.4	-0.3492	-0.0104	0.3454
Mycoplasma_pneumoniae_DNA_BAV20890.1	-443.9	-0.3492	-0.1494	0.0343
Mycoplasma_pneumoniae_DNA_BAV20341.1	-693.7	-0.3492	-0.1836	0.0421
Mycoplasma_pneumoniae_DNA_BAV20745.1	-816.8	-0.3492	-0.1503	0.1895
Mycoplasma_pneumoniae_DNA_BAV20698.1	-330.0	-0.3492	-0.0651	-0.3486
Mycoplasma_pneumoniae_DNA_BAV20743.1	-118.7	-0.3492	-0.2459	0.1046
Mycoplasma_pneumoniae_DNA_BAV20216.1	-224.7	-0.3492	-0.1907	0.5424
Mycoplasma_pneumoniae_DNA_BAV20822.1	-442.9	-0.3492	-0.2143	-0.0638
Mycoplasma_pneumoniae_DNA_BAV20321.1	-365.4	-0.3492	-0.1942	0.0444
Mycoplasma_pneumoniae_DNA_BAV20654.1	-247.5	-0.3492	-0.294	0.3992
Mycoplasma_pneumoniae_DNA_BAV20232.1	-190.3	-0.3492	0.053	0.083
Mycoplasma_pneumoniae_DNA_BAV20910.1	-298.2	-0.3492	-0.0475	-0.2284
Mycoplasma_pneumoniae_DNA_BAV20214.1	-95.1	-0.3492	-0.1407	-0.5286
Mycoplasma_pneumoniae_DNA_BAV20880.1	-633.6	-0.3492	-0.1341	0.0308
Mycoplasma_pneumoniae_DNA_BAV20333.1	-682.2	-0.3492	-0.0368	-0.0682
Mycoplasma_pneumoniae_DNA_BAV20765.1	-329.9	-0.3492	-0.1774	0.1752
Mycoplasma_pneumoniae_DNA_BAV20757.1	-1539.5	-0.3492	-0.2373	0.4211
Mycoplasma_pneumoniae_DNA_BAV20346.1	-261.7	-0.3492	-0.3593	0.1815
Mycoplasma_pneumoniae_DNA_BAV20652.1	-504.6	-0.3492	0.0016	-0.5076
Mycoplasma_pneumoniae_DNA_BAV20776.1	-297.2	-0.3492	-0.1395	0.0681
Mycoplasma_pneumoniae_DNA_BAV20323.1	-249.9	-0.3492	-0.1968	0.2655
Mycoplasma_pneumoniae_DNA_BAV20305.1	-171.0	-0.3492	0.1116	-0.9737
Mycoplasma_pneumoniae_DNA_BAV20236.1	-1583.4	-0.3492	-0.1208	-0.1382
Mycoplasma_pneumoniae_DNA_BAV20761.1	-280.0	-0.3492	-0.0241	-0.1896
Mycoplasma_pneumoniae_DNA_BAV20692.1	-224.6	-0.3492	-0.209	0.522
Mycoplasma_pneumoniae_DNA_BAV20440.1	-1083.7	-0.3492	-0.1981	0.4829
Mycoplasma_pneumoniae_DNA_BAV20753.1	-69.9	-0.3492	-0.1711	0.4988
Mycoplasma_pneumoniae_DNA_BAV20464.1	-540.0	-0.3492	-0.1192	0.0904
Mycoplasma_pneumoniae_DNA_BAV20307.1	-62.3	-0.3492	-0.2798	0.312
Mycoplasma_pneumoniae_DNA_BAV20820.1	-120.7	-0.3492	-0.1562	0.3527
Mycoplasma_pneumoniae_DNA_BAV20914.1	-93.4	-0.3492	-0.2812	0.5781
Mycoplasma_pneumoniae_DNA_BAV20339.1	-227.1	-0.3492	-0.1687	0.5993
Mycoplasma_pneumoniae_DNA_BAV20860.1	-343.3	-0.3492	-0.266	0.2818
Mycoplasma_pneumoniae_DNA_BAV20755.1	-131.5	-0.3492	-0.0133	0.0528
Mycoplasma_pneumoniae_DNA_BAV20726.1	-1586.2	-0.3492	-0.009	-0.2696
Mycoplasma_pneumoniae_DNA_BAV20303.1	-28.1	-0.3492	0.0436	-0.2555
Mycoplasma_pneumoniae_DNA_BAV20400.1	-115.1	-0.3492	-0.2637	0.9463
Mycoplasma_pneumoniae_DNA_BAV20327.1	-292.6	-0.3492	-0.1223	0.0277
Mycoplasma_pneumoniae_DNA_BAV20406.1	-251.9	-0.3492	-0.2803	0.5481
Mycoplasma_pneumoniae_DNA_BAV20775.1	-748.0	-0.3492	-0.2424	0.3357
Mycoplasma_pneumoniae_DNA_BAV20763.1	-170.3	-0.3492	-0.0595	0.115
Mycoplasma_pneumoniae_DNA_BAV20897.1	-315.4	-0.3492	-0.0873	-0.0769
Mycoplasma_pneumoniae_DNA_BAV20325.1	-107.2	-0.3492	-0.1494	-0.2783
Mycoplasma_pneumoniae_DNA_BAV20408.1	-591.6	-0.3492	-0.1059	-0.0959
Mycoplasma_pneumoniae_DNA_BAV20331.1	-150.6	-0.3492	-0.1414	0.1729
Mycoplasma_pneumoniae_DNA_BAV20773.1	-120.4	-0.3492	-0.1109	0.6891
Mycoplasma_pneumoniae_DNA_BAV20458.1	-156.8	-0.3492	-0.0558	0.2773
Mycoplasma_pneumoniae_DNA_BAV20259.1	-120.2	-0.3492	-0.2107	-0.1431
Mycoplasma_pneumoniae_DNA_BAV20239.1	-173.5	-0.3492	-0.1354	-0.4463
Mycoplasma_pneumoniae_DNA_BAV20474.1	-291.4	-0.3492	-0.0469	-0.3185
Mycoplasma_pneumoniae_DNA_BAV20313.1	-448.4	-0.3492	0.0477	-0.5162
Mycoplasma_pneumoniae_DNA_BAV20301.1	-179.2	-0.3492	-0.0991	-0.0262
Mycoplasma_pneumoniae_DNA_BAV20866.1	-347.4	-0.3492	-0.1914	0.1805
Mycoplasma_pneumoniae_DNA_BAV20402.1	-72.1	-0.3492	-0.1164	0.2882
Mycoplasma_pneumoniae_DNA_BAV20404.1	-209.7	-0.3492	-0.2034	0.0465
Mycoplasma_pneumoniae_DNA_BAV20335.1	-65.6	-0.3492	-0.2782	0.9021
Mycoplasma_pneumoniae_DNA_BAV20804.1	-255.5	-0.3492	0.0309	-0.1052
Mycoplasma_pneumoniae_DNA_BAV20814.1	-317.4	-0.3492	-0.1267	-0.2323
Mycoplasma_pneumoniae_DNA_BAV20424.1	-815.7	-0.3492	-0.2194	0.1174
Mycoplasma_pneumoniae_DNA_BAV20478.1	-231.2	-0.3492	-0.0775	0.1279
Mycoplasma_pneumoniae_DNA_BAV20315.1	-178.6	-0.3492	-0.2041	0.5254
Mycoplasma_pneumoniae_DNA_BAV20916.1	-165.3	-0.3492	-0.1838	0.3202
Mycoplasma_pneumoniae_DNA_BAV20337.1	-262.5	-0.3492	0.0016	0.1276
Mycoplasma_pneumoniae_DNA_BAV20426.1	-278.7	-0.3492	0.0162	-0.2015
Mycoplasma_pneumoniae_DNA_BAV20771.1	-180.3	-0.3492	-0.2663	0.6112
Mycoplasma_pneumoniae_DNA_BAV20838.1	-489.4	-0.3492	-0.1117	-0.2638
Mycoplasma_pneumoniae_DNA_BAV20808.1	-473.4	-0.3492	-0.1656	-0.0421
Mycoplasma_pneumoniae_DNA_BAV20810.1	-190.6	-0.3492	-0.1914	0.1573
Mycoplasma_pneumoniae_DNA_BAV20309.1	-605.7	-0.3492	0.0011	-0.2161
Mycoplasma_pneumoniae_DNA_BAV20311.1	-77.9	-0.3492	-0.162	-0.3546
Mycoplasma_pneumoniae_DNA_BAV20422.1	-333.4	-0.3492	-0.0519	-0.2297
Mycoplasma_pneumoniae_DNA_BAV20240.1	-113.2	-0.3492	-0.1384	0.3692
Mycoplasma_pneumoniae_DNA_BAV20418.1	-322.8	-0.3492	-0.1563	0.1606
Mycoplasma_pneumoniae_DNA_BAV20812.1	-253.1	-0.3492	-0.0886	0.0967
Mycoplasma_pneumoniae_DNA_BAV20585.1	-669.8	-0.3492	-0.0245	-0.1606
Mycoplasma_pneumoniae_DNA_BAV20617.1	-196.9	-0.3492	-0.2798	0.4213
Mycoplasma_pneumoniae_DNA_BAV20806.1	-227.7	-0.3492	-0.146	0.0544
Mycoplasma_pneumoniae_DNA_BAV20412.1	-36.0	-0.3492	-0.1631	1.1212
Mycoplasma_pneumoniae_DNA_BAV20788.1	-319.7	-0.3492	-0.1667	0.1903
Mycoplasma_pneumoniae_DNA_BAV20791.1	-356.6	-0.3492	-0.1905	0.1669
Mycoplasma_pneumoniae_DNA_BAV20609.1	-231.5	-0.3492	-0.0922	0.5114
Mycoplasma_pneumoniae_DNA_BAV20317.1	-450.1	-0.3492	0.0789	-0.5181
Mycoplasma_pneumoniae_DNA_BAV20884.1	-311.7	-0.3492	-0.104	0.5124
Mycoplasma_pneumoniae_DNA_BAV20293.1	-105.8	-0.3492	-0.2316	0.092
Mycoplasma_pneumoniae_DNA_BAV20832.1	-178.8	-0.3492	-0.1725	-0.2112
Mycoplasma_pneumoniae_DNA_BAV20777.1	-420.4	-0.3492	-0.1501	0.1486
Mycoplasma_pneumoniae_DNA_BAV20588.1	-476.6	-0.3492	-0.0521	-0.0407
Mycoplasma_pneumoniae_DNA_BAV20786.1	-84.6	-0.3492	-0.522	1.1291
Mycoplasma_pneumoniae_DNA_BAV20795.1	-435.3	-0.3492	-0.1078	-0.2275
Mycoplasma_pneumoniae_DNA_BAV20658.1	-258.9	-0.3492	0.0395	-0.1059
Mycoplasma_pneumoniae_DNA_BAV20599.1	-486.0	-0.3492	0.0327	-0.351
Mycoplasma_pneumoniae_DNA_BAV20420.1	-269.4	-0.3492	-0.1081	0.1542
Mycoplasma_pneumoniae_DNA_BAV20885.1	-261.6	-0.3492	-0.0896	-0.128
Mycoplasma_pneumoniae_DNA_BAV20837.1	-508.9	-0.3492	-0.1257	-0.0002
Mycoplasma_pneumoniae_DNA_BAV20456.1	-180.8	-0.3492	-0.1751	-0.2582
Mycoplasma_pneumoniae_DNA_BAV20488.1	-770.0	-0.3492	-0.1264	-0.0535
Mycoplasma_pneumoniae_DNA_BAV20597.1	-214.0	-0.3492	-0.1519	0.1983
Mycoplasma_pneumoniae_DNA_BAV20389.1	-305.4	-0.3492	-0.1649	0.3858
Mycoplasma_pneumoniae_DNA_BAV20234.1	-56.4	-0.3492	0.0801	-0.1256
Mycoplasma_pneumoniae_DNA_BAV20398.1	-97.3	-0.3492	-0.1556	0.4002
Mycoplasma_pneumoniae_DNA_BAV20416.1	-135.4	-0.3492	-0.1855	-0.0783
Mycoplasma_pneumoniae_DNA_BAV20288.1	-509.7	-0.3492	-0.1937	-0.0226
Mycoplasma_pneumoniae_DNA_BAV20941.1	-483.4	-0.3492	-0.1466	0.0643
Mycoplasma_pneumoniae_DNA_BAV20872.1	-1070.6	-0.3492	-0.1676	-0.0962
Mycoplasma_pneumoniae_DNA_BAV20452.1	-160.2	-0.3492	-0.3018	0.4939
Mycoplasma_pneumoniae_DNA_BAV20565.1	-317.0	-0.3492	-0.3738	0.2914
Mycoplasma_pneumoniae_DNA_BAV20319.1	-34.7	-0.3492	-0.576	0.7434
Mycoplasma_pneumoniae_DNA_BAV20410.1	-262.1	-0.3492	-0.1599	0.2119
Mycoplasma_pneumoniae_DNA_BAV20628.1	-367.0	-0.3492	-0.3097	0.5538
Mycoplasma_pneumoniae_DNA_BAV20826.1	-147.8	-0.3492	-0.1532	-0.0937
Mycoplasma_pneumoniae_DNA_BAV20454.1	-759.2	-0.3492	-0.1536	0.2765
Mycoplasma_pneumoniae_DNA_BAV20751.1	-164.6	-0.3492	-0.1139	0.4145
Mycoplasma_pneumoniae_DNA_BAV20876.1	-497.6	-0.3492	-0.1974	0.1929
Mycoplasma_pneumoniae_DNA_BAV20784.1	-105.5	-0.3492	-0.6708	1.8778
Mycoplasma_pneumoniae_DNA_BAV20797.1	-286.2	-0.3492	-0.1212	0.1738
Mycoplasma_pneumoniae_DNA_BAV20690.1	-768.8	-0.3492	-0.024	0.3539
Mycoplasma_pneumoniae_DNA_BAV20874.1	-623.6	-0.3492	-0.2157	0.2741
Mycoplasma_pneumoniae_DNA_BAV20414.1	-143.2	-0.3492	-0.0851	-0.096
Mycoplasma_pneumoniae_DNA_BAV20919.1	-403.5	-0.3492	-0.4156	1.1527
Mycoplasma_pneumoniae_DNA_BAV20943.1	-290.2	-0.3492	-0.2656	0.1731
Mycoplasma_pneumoniae_DNA_BAV20709.1	-328.4	-0.3492	-0.1288	-0.0121
Mycoplasma_pneumoniae_DNA_BAV20780.1	-213.6	-0.3492	-0.1749	-0.1195
Mycoplasma_pneumoniae_DNA_BAV20631.1	-1130.1	-0.3492	-0.1311	0.209
Mycoplasma_pneumoniae_DNA_BAV20799.1	-106.8	-0.3492	-0.2075	-0.4263
Mycoplasma_pneumoniae_DNA_BAV20429.1	-147.2	-0.3492	-0.1399	0.3327
Mycoplasma_pneumoniae_DNA_BAV20767.1	-148.6	-0.3492	-0.1337	0.1887
Mycoplasma_pneumoniae_DNA_BAV20782.1	-461.9	-0.3492	-0.1071	-0.183
Mycoplasma_pneumoniae_DNA_BAV20913.1	-221.5	-0.3492	-0.1472	0.2835
Mycoplasma_pneumoniae_DNA_BAV20436.1	-1030.9	-0.3492	-0.073	-0.1639
