Accession	%Both_optimised	%Cost_optimised	%tAI_optimised
Mycoplasma_pneumoniae_DNA_BAV20941.1	59.23	54.14	46.9
Mycoplasma_pneumoniae_DNA_BAV20872.1	59.44	55.98	45.31
Mycoplasma_pneumoniae_DNA_BAV20452.1	66.44	58.73	49.86
Mycoplasma_pneumoniae_DNA_BAV20565.1	66.74	64.87	45.82
Mycoplasma_pneumoniae_DNA_BAV20319.1	69.39	68.25	49.93
Mycoplasma_pneumoniae_DNA_BAV20410.1	61.52	53.47	48.23
Mycoplasma_pneumoniae_DNA_BAV20628.1	66.72	59.53	50.33
Mycoplasma_pneumoniae_DNA_BAV20826.1	59.16	55.86	45.1
Mycoplasma_pneumoniae_DNA_BAV20454.1	61.74	53.31	49.58
Mycoplasma_pneumoniae_DNA_BAV20751.1	60.85	47.52	53.5
Mycoplasma_pneumoniae_DNA_BAV20876.1	61.7	55.48	47.98
Mycoplasma_pneumoniae_DNA_BAV20784.1	78.87	65.43	57.37
Mycoplasma_pneumoniae_DNA_BAV20797.1	59.44	52.68	47.92
Mycoplasma_pneumoniae_DNA_BAV20690.1	59.47	44.09	52.01
Mycoplasma_pneumoniae_DNA_BAV20874.1	63.34	57.5	47.53
Mycoplasma_pneumoniae_DNA_BAV20414.1	58.11	52.17	44.78
Mycoplasma_pneumoniae_DNA_BAV20919.1	73.29	60.58	55.22
Mycoplasma_pneumoniae_DNA_BAV20943.1	63.55	60.07	45.59
Mycoplasma_pneumoniae_DNA_BAV20709.1	58.44	53.82	45.26
Mycoplasma_pneumoniae_DNA_BAV20780.1	58.48	57.28	43.67
Mycoplasma_pneumoniae_DNA_BAV20631.1	60.94	52.86	48.9
Mycoplasma_pneumoniae_DNA_BAV20799.1	57.8	60.49	39.71
Mycoplasma_pneumoniae_DNA_BAV20429.1	61.15	51.81	51.99
Mycoplasma_pneumoniae_DNA_BAV20767.1	59.24	52.46	50.92
Mycoplasma_pneumoniae_DNA_BAV20782.1	56.67	53.59	44.53
Mycoplasma_pneumoniae_DNA_BAV20913.1	61.2	52.25	50.61
Mycoplasma_pneumoniae_DNA_BAV20436.1	56.11	50.44	45.0
